36165,41567,41570.000000 
36160,41490,41568.832031 
36141,41493,41566.652344 
36125,41502,41564.703125 
36104,41465,41562.414062 
36059,41381,41558.484375 
36022,41496,41555.101562 
36006,41480,41553.210938 
36005,41564,41552.332031 
36004,41481,41551.492188 
36003,41563,41550.660156 
36019,41563,41551.007812 
36016,41468,41550.007812 
36006,41527,41548.527344 
35988,41429,41546.539062 
35959,41464,41543.718750 
35922,41388,41540.398438 
35875,41411,41536.425781 
35829,41384,41532.507812 
35804,41507,41530.054688 
35821,41586,41530.519531 
35821,41427,41529.843750 
35783,41392,41526.453125 
35779,41593,41525.496094 
35762,41326,41523.636719 
35708,41407,41519.207031 
35688,41489,41517.199219 
35640,41262,41513.203125 
35600,41523,41509.800781 
35601,41454,41509.203125 
35586,41447,41507.550781 
35579,41489,41506.437500 
35574,41456,41505.480469 
35558,41431,41503.734375 
35540,41446,41501.894531 
35538,41505,41501.152344 
35544,41482,41500.937500 
35533,41426,41499.613281 
35524,41486,41498.382812 
35526,41476,41497.894531 
35530,41499,41497.601562 
35520,41407,41496.343750 
35510,41494,41495.050781 
35516,41487,41494.921875 
35511,41436,41493.980469 
35490,41405,41491.910156 
35474,41462,41490.265625 
35475,41484,41489.781250 
35484,41500,41489.843750 
35484,41440,41489.285156 
35474,41451,41488.050781 
35470,41465,41487.203125 
35460,41421,41485.957031 
35439,41411,41483.984375 
35401,41332,41480.812500 
35356,41371,41477.167969 
35340,41464,41475.488281 
35339,41450,41474.968750 
35348,41506,41475.054688 
35347,41401,41474.449219 
35324,41401,41472.378906 
35327,41525,41472.117188 
35348,41487,41473.074219 
35345,41409,41472.367188 
35340,41476,41471.527344 
35331,41385,41470.371094 
35330,41517,41469.824219 
35356,41517,41471.156250 
35359,41403,41470.843750 
35384,41627,41472.089844 
35423,41474,41474.300781 
35422,41436,41473.757812 
35392,41326,41471.144531 
35334,41296,41466.628906 
35327,41570,41465.683594 
35369,41534,41468.117188 
35411,41575,41470.554688 
35438,41462,41471.906250 
35445,41481,41471.894531 
35473,41567,41473.363281 
35491,41432,41474.101562 
35460,41331,41471.492188 
35449,41522,41470.226562 
35449,41380,41469.687500 
35433,41448,41468.117188 
35452,41546,41468.933594 
